"Path","File","Size","MediaType","Duration(seconds)" ,"Height","Width","BitsPerPixel","AudioBitRate","AudioChannels","AudioSampleRate"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 01 - Laundromat Blues.mp3","4852490","Audio","203","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 02 - Overall Junction.mp3","3387961","Audio","142","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 03 - Oh, Pretty Woman.mp3","4049380","Audio","169","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 04 - Funk Shun.mp3","5441805","Audio","227","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 05 - Crosscut Saw.mp3","3725250","Audio","156","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 06 - Down Don't Bother Me.mp3","3159759","Audio","132","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 07 - Born Under a Bad Sign.mp3","4039982","Audio","169","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 08 - Personal Manager.mp3","6485665","Audio","271","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 09 - Kansas City.mp3","3673840","Audio","154","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 10 - The Very Thought of You.mp3","5502632","Audio","230","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 11 - The Hunter.mp3","3976650","Audio","166","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 12 - I Almost Lost My Mind.mp3","5078193","Audio","212","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 13 - As the Years Go Passing By.mp3","5479439","Audio","229","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 14 - Cold Feet.mp3","4033701","Audio","169","","","","192","2","44100"
"C:\DirListerTest\TestData\Blues\Albert King [1989] - King Of The Blues Guitar\","Albert King - King Of The Blues Guitar - 15 - You Sure Drive A Hard Bargain.mp3","4828679","Audio","202","","","","192","2","44100"
