"Path","File","Size","MediaType","Duration(seconds)","Height","Width","BitsPerPixel","AudioBitRate","AudioChannels","AudioSampleRate"
"C:\DirListerTest\Audio\","32.mp3","513252","Audio","33","","","","128","1","44100"
"C:\DirListerTest\Audio\","audiocheck.net_hdsweep_1Hz_44000Hz_-3dBFS_30s.wav","5292046","Audio","30","","","","1411","1","88200"
"C:\DirListerTest\Audio\","piano2.aif","1210654","Audio","6","","","","1536","2","48000"
"C:\DirListerTest\Audio\","piano2-Audacity1.2.5.mp3","102272","Audio","7","","","","128","2","48000"
"C:\DirListerTest\Audio\","piano2-CoolEdit.mp3","101760","Audio","7","","","","128","2","48000"
"C:\DirListerTest\Audio\","Sample_BeeMoved_48kHz16bit.m4a","1310720","Audio","40","","","","192","2","44100"
"C:\DirListerTest\Audio\","Sample_BeeMoved_96kHz24bit.flac","16652777","Audio","40","","","","3328","2","96000"
"C:\DirListerTest\Audio\","SampleAudio_0.4mb.mp3","443926","Audio","28","","","","128","2","44100"
"C:\DirListerTest\Audio\","SampleAudio_0.7mb.mp3","725240","Audio","46","","","","128","2","44100"
"C:\DirListerTest\Image\","SampleGIFImage_135kbmb.gif","138380","Image","0","229","492","8","","",""
"C:\DirListerTest\Image\","SampleGIFImage_350kbmb (1).gif","355854","Image","0","200","400","8","","",""
"C:\DirListerTest\Image\","SampleGIFImage_350kbmb.gif","355854","Image","0","200","400","8","","",""
"C:\DirListerTest\Image\","SampleGIFImage_40kbmb (1).gif","40316","Image","0","312","312","8","","",""
"C:\DirListerTest\Image\","SampleGIFImage_40kbmb.gif","40316","Image","0","312","312","8","","",""
"C:\DirListerTest\Image\","SampleJPGImage_100kbmb.jpg","102796","Image","0","689","689","24","","",""
"C:\DirListerTest\Image\","SampleJPGImage_1mbmb.jpg","1033414","Image","0","2921","2192","24","","",""
"C:\DirListerTest\Image\","SamplePNGImage_100kbmb.png","104327","Image","0","170","272","32","","",""
"C:\DirListerTest\Image\","SamplePNGImage_3mbmb.png","3124201","Image","0","1080","1920","32","","",""
"C:\DirListerTest\Image\","SampleVideo_1280x720_10mb.flv","10546977","","","","","","","",""
"C:\DirListerTest\Image\","SampleVideo_360x240_1mb.flv","1054558","","","","","","","",""
"C:\DirListerTest\Image\","small.flv","303327","","","","","","","",""
"C:\DirListerTest\Image\","w3c_home.bmp","10422","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home.gif","988","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home.jpg","2165","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home.png","2028","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home_2.bmp","638","Image","0","48","72","1","","",""
"C:\DirListerTest\Image\","w3c_home_2.gif","333","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_2.jpg","2332","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home_2.png","324","Image","0","48","72","1","","",""
"C:\DirListerTest\Image\","w3c_home_256.bmp","4534","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_256.gif","1667","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_256.jpg","2159","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home_animation.gif","1927","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_animation.mng","3983","","","","","","","",""
"C:\DirListerTest\Image\","w3c_home_gray.bmp","4534","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_gray.gif","1628","Image","0","48","72","8","","",""
"C:\DirListerTest\Image\","w3c_home_gray.jpg","2006","Image","0","48","72","24","","",""
"C:\DirListerTest\Image\","w3c_home_gray.png","1623","Image","0","48","72","8","","",""
"C:\DirListerTest\Other\","SampleTextFile_1000kb.txt","1023385","","","","","","","",""
"C:\DirListerTest\Other\","SampleTextFile_100kb.txt","102180","","","","","","","",""
"C:\DirListerTest\Other\","SampleTextFile_200kb.txt","204118","","","","","","","",""
"C:\DirListerTest\Other\","SampleTextFile_500kb.txt","511274","","","","","","","",""
"C:\DirListerTest\Video\","centaur_2.mpg","10727428","Video","14","480","720","","","2","11025"
"C:\DirListerTest\Video\","grb_2.mpg","20895752","","","","","","","",""
"C:\DirListerTest\Video\","SampleVideo_1280x720_1mb.mp4","1055736","Video","5","720","1280","","384","2","48000"
"C:\DirListerTest\Video\","SampleVideo_1280x720_20mb.mkv","20979826","Video","113","720","1280","","","6","48000"
"C:\DirListerTest\Video\","SampleVideo_176x144_2mb.3gp","2112761","","","","","","","",""
"C:\DirListerTest\Video\","SampleVideo_360x240_2mb.mp4","2100396","Video","27","240","320","","383","2","48000"
"C:\DirListerTest\Video\","small.3gp","215799","","","","","","","",""
"C:\DirListerTest\Video\","small.mp4","383631","Video","6","320","560","","83","1","48000"
"C:\DirListerTest\Video\","small.ogv","438268","","","","","","","",""
"C:\DirListerTest\Video\","small.webm","229455","","","","","","","",""
